,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
377,Mitchell,1,US,1561588854,45,43.71,-98.03,87.8,10.29
378,Sinop,10,TR,1561588572,87,42.03,35.15,71.69,7.14
379,Genhe,100,CN,1561588857,54,50.78,121.52,61.43,10.83
380,Edd,99,ER,1561588858,47,13.93,41.69,88.07,2.91
381,Honiara,20,SB,1561588672,79,-9.43,159.96,84.2,1.79
382,Ulladulla,20,AU,1561588687,100,-35.36,150.48,50.0,5.82
383,Staryy Krym,0,UA,1561588861,73,45.03,35.1,62.87,4.74
384,Caluquembe,0,AO,1561588862,69,-13.78,14.68,51.35,2.82
385,Shizunai,100,JP,1561588863,87,42.33,142.37,59.81,2.37
386,Kashan,8,IR,1561588864,9,33.99,51.44,91.4,8.05
387,Tuy Hoa,19,VN,1561588866,63,13.08,109.3,81.59,12.64
388,Moanda,6,CD,1561588867,77,-5.93,12.38,73.67,9.01
389,Poum,0,MK,1561588868,87,41.28,20.71,58.37,4.05
390,Dicabisagan,80,PH,1561588869,79,17.08,122.42,81.41,1.61
391,Hailey,75,US,1561588741,30,43.52,-114.32,71.6,6.46
392,Bambous Virieux,75,MU,1561588871,94,-20.34,57.76,73.4,13.87
393,Chipinge,61,ZW,1561588872,85,-20.19,32.62,54.41,2.71
394,Portland,40,US,1561588720,77,43.66,-70.25,75.0,9.17
395,Nurota,17,UZ,1561588875,33,40.56,65.69,73.4,9.17
396,Laguna,75,BZ,1561588876,74,16.17,-88.94,86.0,9.17
397,Saint Anthony,1,US,1561588877,28,43.97,-111.68,82.4,6.93
398,Mecca,28,SA,1561588878,32,21.43,39.83,89.33,5.7
399,Arnhem,75,NL,1561588879,87,51.98,5.91,64.0,8.05
400,Faya,0,SA,1561588880,17,18.39,42.45,75.2,3.36
401,Aguada de Pasajeros,0,CU,1561588882,41,22.38,-80.85,95.0,12.75
402,Lancaster,1,US,1561588740,51,40.04,-76.31,89.01,6.53
403,Kruisfontein,20,ZA,1561588658,88,-34.0,24.73,53.15,5.93
404,Yarada,76,IN,1561588885,78,17.65,83.27,83.93,10.58
405,Roald,86,NO,1561588886,93,62.58,6.12,51.8,3.36
406,Gushikawa,75,JP,1561588887,83,26.35,127.87,80.6,3.36
407,San Carlos de Bariloche,40,AR,1561588888,65,-41.13,-71.31,41.0,14.99
408,Talnakh,0,RU,1561588890,57,69.49,88.39,44.6,8.95
409,Lewistown,1,US,1561588891,74,40.39,-90.15,90.0,9.17
410,Bowen,90,AU,1561588784,100,-20.01,148.25,66.99,4.7
411,Belaya Gora,27,RU,1561588896,23,68.54,146.19,68.09,15.23
412,Banda Aceh,76,ID,1561588750,74,5.56,95.32,83.57,13.4
413,Havelock,1,US,1561588901,55,34.88,-76.9,87.8,11.41
414,Port Hardy,40,CA,1561588902,68,50.7,-127.42,64.4,6.93
415,Lagos,97,NG,1561588904,93,6.46,3.39,74.93,6.17
416,Orlik,20,PL,1561588905,73,53.95,17.74,70.0,17.22
417,Loukhi,100,RU,1561588906,69,66.08,33.04,51.17,5.97
418,Yeniseysk,6,RU,1561588907,65,58.45,92.17,66.29,3.8
419,Celestun,85,MX,1561588820,77,20.87,-90.4,83.03,27.38
420,Carballo,40,ES,1561588909,82,43.21,-8.69,64.99,1.12
421,Lishui,28,CN,1561588910,89,28.45,119.91,75.47,0.56
422,Blagoyevo,80,RU,1561588912,62,63.37,47.92,51.17,2.77
423,Aksarka,100,RU,1561588913,68,66.56,67.8,47.57,5.64
424,Cabo San Lucas,5,MX,1561588708,17,22.89,-109.91,93.99,14.99
425,Madimba,75,CM,1561588668,94,4.42,9.93,75.2,3.36
426,Dudinka,0,RU,1561588916,51,69.41,86.18,44.6,8.95
427,Nishihara,1,JP,1561588917,78,35.74,139.53,82.99,1.01
428,Tingo Maria,20,PE,1561588918,58,-9.29,-76.01,84.2,3.36
429,Markova,90,RU,1561588919,100,52.21,104.21,53.6,6.71
430,Waingapu,0,ID,1561588921,73,-9.65,120.26,71.51,12.75
431,Ostrow Mazowiecka,30,PL,1561588922,44,52.8,21.9,73.99,10.92
432,Guilin,90,CN,1561588923,100,25.28,110.29,77.0,2.24
433,Shimoda,100,JP,1561588924,76,34.7,138.93,77.0,7.65
434,Keetmanshoop,0,NA,1561588925,20,-26.57,18.15,51.8,8.05
435,Svetlogorsk,40,RU,1561588926,81,53.14,59.15,48.2,4.47
436,Belfast,0,GB,1561588769,76,54.6,-5.93,55.99,6.93
437,Worthington,1,US,1561588929,45,43.62,-95.6,88.0,8.05
438,Gorey,34,SO,1561588930,90,3.22,43.63,69.17,13.62
439,Colonia,0,RO,1561588931,72,46.6,23.97,68.0,8.05
440,Bandarbeyla,88,SO,1561588932,64,9.49,50.81,78.53,28.01
441,Atar,4,MR,1561588933,12,20.52,-13.05,97.25,15.48
442,Yar-Sale,63,RU,1561588935,74,66.83,70.83,46.13,4.18
443,Galesong,20,ID,1561588936,94,-5.32,119.37,71.6,2.24
444,Mgandu,6,TZ,1561588937,82,-5.96,34.11,58.55,9.48
445,Amravati,64,IN,1561588938,62,20.93,77.76,86.27,9.08
446,Neiafu,40,TO,1561588939,83,-18.65,-173.98,77.0,5.82
447,Aketi,100,CD,1561588941,95,2.74,23.78,69.71,0.65
448,Podgorica,0,ME,1561588942,37,42.44,19.26,86.0,8.05
449,Parfenyevo,1,RU,1561588943,98,58.48,43.41,43.79,4.54
450,Bangassou,100,CF,1561588944,91,4.74,22.82,68.99,1.01
451,Turbat,2,PK,1561588945,89,26.0,63.05,78.53,4.81
452,Broome,47,GB,1561588946,87,52.47,1.45,57.99,9.17
453,Lillooet,40,CA,1561588948,33,50.69,-121.94,77.0,3.36
454,Aleksandrovsk-Sakhalinskiy,98,RU,1561588949,86,50.9,142.16,47.39,13.96
455,Petropavlovsk-Kamchatskiy,75,RU,1561588950,87,53.05,158.65,48.2,2.24
456,Raudeberg,98,NO,1561588951,76,61.99,5.14,51.8,6.93
457,Miri,42,NG,1561588952,83,10.31,9.75,74.03,2.84
458,Gari,94,RU,1561588953,70,59.43,62.35,49.55,3.29
459,Sao Felix do Xingu,84,BR,1561588674,69,-6.64,-51.99,75.11,3.87
460,Chhapar,2,IN,1561588956,32,27.82,74.44,94.37,13.51
461,Alofi,75,NU,1561588957,73,-19.06,-169.92,77.0,14.99
462,Huarmey,12,PE,1561588832,87,-10.07,-78.15,63.23,14.61
463,Guiyang,75,CN,1561588959,88,26.58,106.71,73.4,4.47
464,Annau,0,TM,1561588960,17,37.89,58.52,86.0,6.93
465,Veere,0,NL,1561588961,82,51.55,3.67,64.0,16.11
466,Linxia,100,CN,1561588963,98,35.6,103.21,49.73,3.24
467,Brewster,1,US,1561588881,77,41.76,-70.08,75.0,5.82
468,Vila Franca do Campo,20,PT,1561588965,77,37.72,-25.43,64.4,14.99
469,Wanaka,0,NZ,1561588966,90,-44.7,169.14,33.01,1.99
470,Rantepao,17,ID,1561588967,90,-2.97,119.9,64.31,2.01
471,Zalha,0,RO,1561588968,72,47.19,23.53,70.0,8.05
472,Sibolga,82,ID,1561588970,79,1.74,98.78,81.59,8.12
473,Baillif,19,GP,1561588971,83,16.02,-61.75,80.6,9.17
474,Marondera,87,ZW,1561588972,72,-18.19,31.55,54.77,5.35
475,Komsomolskiy,86,RU,1561588973,84,67.55,63.78,40.73,5.28
476,Tabuk,100,PH,1561588974,93,17.41,121.44,67.55,1.19
477,Muhammadabad,27,IN,1561588976,53,26.03,83.38,90.23,5.39
478,Orcopampa,12,PE,1561588977,59,-15.27,-72.34,33.35,3.18
479,Lincoln,1,US,1561588978,45,40.8,-96.67,90.0,19.46
480,Ixtapa,75,MX,1561588785,66,20.71,-105.21,86.0,20.8
481,Los Llanos de Aridane,75,ES,1561588980,68,28.66,-17.92,71.6,14.99
482,Obreja,14,RO,1561588981,81,45.48,22.26,65.75,3.27
483,Mirnyy,30,RU,1561588982,94,56.57,36.46,48.65,2.3
484,Outjo,17,NA,1561588984,34,-20.11,16.16,53.6,1.12
485,Saint-Pierre,0,FR,1561588985,78,48.95,4.24,80.6,11.41
486,Palmer,0,AU,1561588986,58,-34.85,139.16,61.0,10.29
487,Belmonte,0,PT,1561588987,96,40.36,-7.35,56.21,1.66
488,Kawasaki,75,JP,1561588988,74,35.52,139.71,82.99,12.75
489,Clyde River,40,CA,1561588990,80,70.47,-68.59,41.0,14.99
490,Yichun,100,CN,1561588991,97,47.72,128.88,54.05,12.15
491,Xining,100,CN,1561588864,98,36.62,101.77,45.23,2.06
492,Kozlovka,75,RU,1561588993,76,55.84,48.25,55.4,2.24
493,Yunyang,100,CN,1561588994,70,32.84,110.81,73.85,3.18
494,Maltahohe,3,NA,1561588995,47,-24.83,16.98,48.11,5.1
495,Santiago del Estero,0,AR,1561588843,38,-27.8,-64.26,50.99,9.15
496,Gat,0,SN,1561588997,78,14.69,-16.54,78.8,8.05
497,Charlestown,1,US,1561588999,88,41.38,-71.64,81.0,10.29
498,Ulaangom,22,MN,1561589000,39,49.98,92.07,61.97,2.37
499,Eregli,0,TR,1561589001,57,37.51,34.05,70.25,2.59
500,Maniitsoq,70,GL,1561589002,73,65.42,-52.9,50.09,4.74
501,Chicama,75,PE,1561589003,88,-7.84,-79.15,64.4,9.17
502,Texarkana,1,US,1561589005,55,33.44,-94.04,89.01,8.05
503,Batemans Bay,53,AU,1561589006,85,-35.71,150.18,51.01,3.0
504,At-Bashi,58,KG,1561589007,65,41.17,75.81,47.75,4.83
505,Awjilah,0,LY,1561589011,58,29.14,21.3,79.25,10.67
506,Sohag,0,EG,1561589015,14,26.55,31.7,93.2,9.17
507,Debre Birhan,100,ET,1561589016,60,9.68,39.53,56.75,2.91
508,Buala,74,SB,1561589006,71,-8.15,159.59,84.47,7.81
509,Rudnichnyy,65,RU,1561589019,78,59.7,60.29,46.31,2.64
510,Linjiang,0,CN,1561589020,64,41.81,126.91,69.53,4.03
511,Chippewa Falls,20,US,1561589021,37,44.94,-91.39,82.99,10.29
512,Chifeng,100,CN,1561588745,45,42.27,118.96,76.37,7.27
513,Uspantan,70,GT,1561589024,98,15.35,-90.87,61.25,3.04
514,Kota Kinabalu,75,MY,1561589025,83,5.98,116.07,78.01,2.24
515,Pitimbu,0,BR,1561589026,94,-7.47,-34.81,75.2,4.7
516,Bud,97,NO,1561589027,87,62.91,6.91,51.8,12.75
517,Stony Plain,75,CA,1561589028,68,53.53,-114.0,72.0,13.87
518,Santana do Livramento,0,BR,1561589030,72,-30.89,-55.53,40.55,4.09
519,Kortkeros,62,RU,1561589031,100,61.81,51.56,46.0,2.28
520,Dakar,0,SN,1561589001,88,14.69,-17.45,78.8,2.24
521,Hervey Bay,75,AU,1561589033,88,-25.3,152.85,69.01,9.17
522,Hobyo,55,SO,1561589034,68,5.35,48.53,77.27,24.05
523,Inirida,73,CO,1561588857,95,3.87,-67.92,75.29,2.82
524,Amahai,83,ID,1561588917,89,-3.31,129.0,82.0,12.21
525,Kirakira,99,SB,1561589041,72,-10.46,161.92,83.21,1.21
526,Taoudenni,1,ML,1561588825,8,22.68,-3.98,98.15,11.25
527,Aroes,20,PT,1561589043,93,41.46,-8.21,66.0,1.12
528,Baruun-Urt,21,MN,1561588831,54,46.68,113.28,69.89,19.04
529,Imbituba,75,BR,1561589045,67,-28.24,-48.67,57.2,8.05
530,Phan Thiet,56,VN,1561588805,79,10.93,108.1,77.99,7.7
531,Kuching,75,MY,1561589047,94,1.56,110.34,77.0,2.24
532,Timiryazevskoye,0,RU,1561589058,82,56.49,84.88,63.0,4.47
533,Xichang,100,CN,1561589059,95,27.88,102.25,60.71,1.86
534,Victor Harbor,0,AU,1561589060,58,-35.55,138.62,60.01,10.29
535,Aguililla,75,MX,1561589061,75,18.74,-102.79,76.55,5.57
536,Pochutla,75,MX,1561588945,66,15.74,-96.47,88.0,11.41
537,Sabha,59,LY,1561589063,25,27.03,14.43,88.25,14.63
538,Nome,75,US,1561589064,62,30.04,-94.42,91.4,6.93
539,Jumla,5,NP,1561589066,93,29.28,82.18,49.91,1.05
540,Cardston,75,CA,1561589067,59,49.2,-113.32,71.6,6.78
541,Rantoul,40,US,1561589068,48,40.31,-88.16,89.01,9.17
542,Saquarema,0,BR,1561589069,78,-22.93,-42.51,82.4,5.82
543,Chuy,36,UY,1561589070,78,-33.69,-53.46,45.41,8.01
544,Owando,93,CG,1561588907,89,-0.49,15.91,72.59,4.12
545,Bar Harbor,90,US,1561589065,100,44.39,-68.2,60.8,4.7
546,Toledo,0,ES,1561588998,40,39.86,-4.02,86.0,12.75
547,Lasa,0,CY,1561588966,94,34.92,32.53,77.0,6.93
548,Hwange,0,ZW,1561588874,73,-18.35,26.5,54.23,3.47
549,Aklavik,40,CA,1561588964,46,68.22,-135.01,53.6,4.7
550,Ketchikan,1,US,1561588827,56,55.34,-131.65,80.6,16.11
551,Wewak,100,PG,1561589079,75,-3.55,143.63,82.67,1.81
552,Sangar,0,RU,1561588992,44,63.92,127.47,73.49,0.98
553,Rawson,58,AR,1561588927,48,-43.3,-65.11,48.47,20.85
554,Sao Luis de Montes Belos,0,BR,1561589063,58,-16.52,-50.37,67.01,1.99
